year:i4	action:S20	attribute:S40	amount:i4	building_id:i4	zone_id:i4	building_type_id:i4
2033	add_value	residential_units	0	5835	-1	-1
2030	add_value	residential_units	0	5836	-1	-1
2031	add_value	residential_units	0	5845	-1	-1
2032	add_value	residential_units	0	5846	-1	-1
2024	add_value	residential_units	0	5847	-1	-1
2030	add_value	residential_units	0	5848	-1	-1
2024	add_value	residential_units	0	5881	-1	-1
2033	add_value	residential_units	0	5882	-1	-1
2027	add_value	residential_units	0	5883	-1	-1
2026	add_value	residential_units	0	5884	-1	-1
2020	add_value	residential_units	0	5893	-1	-1
2033	add_value	residential_units	0	5894	-1	-1
2024	add_value	residential_units	0	5895	-1	-1
2032	add_value	residential_units	0	5896	-1	-1
2021	add_value	residential_units	0	5899	-1	-1
2027	add_value	residential_units	0	5901	-1	-1
2022	add_value	residential_units	0	5902	-1	-1
2032	add_value	residential_units	0	5917	-1	-1
2030	add_value	residential_units	0	5918	-1	-1
2026	add_value	residential_units	0	5919	-1	-1
2034	add_value	residential_units	0	5920	-1	-1
2030	add_value	residential_units	0	5935	-1	-1
2032	add_value	residential_units	0	5936	-1	-1
2024	add_value	residential_units	0	5937	-1	-1
2023	add_value	residential_units	0	5938	-1	-1
2029	add_value	residential_units	0	5947	-1	-1
2022	add_value	residential_units	0	5948	-1	-1
2032	add_value	residential_units	0	5949	-1	-1
2030	add_value	residential_units	0	5950	-1	-1
2020	add_value	residential_units	51	6727	-1	-1
2031	add_value	residential_units	32	6728	-1	-1
2032	add_value	residential_units	15	6729	-1	-1
2032	add_value	residential_units	150	6730	-1	-1
2029	add_value	residential_units	36	7141	-1	-1
2022	add_value	residential_units	108	7142	-1	-1
2021	add_value	residential_units	5	7143	-1	-1
2031	add_value	residential_units	416	7144	-1	-1
2030	add_value	residential_units	210	7159	-1	-1
2030	add_value	residential_units	70	7160	-1	-1
2033	add_value	residential_units	90	7161	-1	-1
2028	add_value	residential_units	162	7162	-1	-1
2029	add_value	residential_units	42	7645	-1	-1
2032	add_value	residential_units	169	7646	-1	-1
2025	add_value	residential_units	13	7647	-1	-1
2028	add_value	residential_units	337	7648	-1	-1
2032	add_value	residential_units	71	7783	-1	-1
2027	add_value	residential_units	285	7784	-1	-1
2022	add_value	residential_units	8	7785	-1	-1
2027	add_value	residential_units	187	7786	-1	-1
