coefficient_name:S21,estimate:f8,standard_error:f8,sub_model_id:i2,t_statistic:f8
CLOActPotSt,0.372970461845,0.0222656037658,4,16.7509708405
CLPB,-0.312445998192,0.0388865061104,4,-8.03481769562
CNGsubwSP,-0.00293962587602,0.00228509167209,4,-1.28643679619
CNGtrainSt,-0.00735673913732,0.00408261781558,4,-1.80196619034
CNRKold,-0.00192871573381,0.00312397279777,4,-0.617392003536
CNRKyng,-0.0111297490075,0.00293678999878,4,-3.78976678848
CPBhghInc,0.0177762527019,0.0026678564027,4,6.66312217712
CPBlowInc,0.0226132050157,0.00351904099807,4,6.42595672607
CPRchld111g,-0.0150806065649,0.0031948920805,4,-4.72022390366
CQEsec2dst_lag1,1995.30456543,3104.65014648,4,0.642682552338
CQEsec3dst_lag1,64613.9101562,13536.6337891,4,4.7732629776
CQEsec4dst_lag1,71827.3984375,2551.09326172,4,28.1555366516
CQEsec6dst_lag1,-14139.0791016,1562.21569824,4,-9.05065727234
CQEsec9dst_lag1,-3938.60083008,985.90838623,4,-3.99489545822
CRItaxPro,0.0056941267103,0.0017297094455,4,3.29195570946
CRRdensPop,0.0156954023987,0.00172686530277,4,9.08895587921
biotech,-0.0883954688907,0.0323676727712,4,-2.73098015785
clichy_montfermeil,0.0344801284373,0.0579056255519,4,0.595453858376
confluence,-0.155232265592,0.0478897355497,4,-3.24145174026
ctdtcd,-0.00216547655873,0.000436583708506,4,-4.96004915237
ctdvpd,-0.00735135236755,0.00141453521792,4,-5.19700908661
descates,0.163538277149,0.0355293117464,4,4.60291147232
la_defense,-0.00560549693182,0.062523342669,4,-0.0896544679999
le_bourget,-0.0233928076923,0.0633674412966,4,-0.369161307812
paris_pole,0.536029338837,0.0568749941885,4,9.4246931076
pleyel,0.308511674404,0.0440813191235,4,6.99869441986
roissy,-0.123860470951,0.0657839104533,4,-1.88283836842
saclay,-0.234524428844,0.032788194716,4,-7.1527094841
val_de_france_gonesse,0.277120292187,0.0629144981503,4,4.404712677
CBADefense,-0.0487893372774,0.211953386664,5,-0.2301889956
CBAnwCty,0.0746786892414,0.0682553052902,5,1.09410822392
CDGhighw,-0.014665174298,0.00755082350224,5,-1.94219529629
CLEmpTot_lag1,0.390597969294,0.0350900478661,5,11.1313037872
CLOActPotSt,0.505485594273,0.0418638586998,5,12.0745105743
CNGsubwSP,0.00956176966429,0.00555421039462,5,1.72153532505
CNGtrainSt,0.0155106121674,0.0104252556339,5,1.48779201508
CQEsec2dst_lag1,10790.7490234,7371.74072266,5,1.46379935741
CQEsec3dst_lag1,140785.984375,34935.3242188,5,4.02990341187
CQEsec5dst_lag1,15648.6542969,7682.32470703,5,2.03696870804
CRRdensPop,0.0288486257195,0.00364257209003,5,7.91985034943
biotech,-0.0043400102295,0.0755492672324,5,-0.0574460923672
clichy_montfermeil,0.898911058903,0.109857417643,5,8.18252468109
confluence,-0.0523623600602,0.117570497096,5,-0.445369899273
ctdtcd,0.000308133196086,0.000930160516873,5,0.331268846989
ctdvpd,0.021995306015,0.00319158355705,5,6.8916592598
descates,-0.0371487401426,0.0992832928896,5,-0.374169111252
la_defense,-0.346084296703,0.183611899614,5,-1.88486850262
le_bourget,0.587963342667,0.110924109817,5,5.30059099197
paris_pole,-0.0451610051095,0.122341275215,5,-0.369139552116
pleyel,0.0036858106032,0.102691724896,5,0.0358919911087
roissy,0.554240882397,0.101638667285,5,5.45305156708
saclay,-0.494848668575,0.0835796222091,5,-5.92068576813
val_de_france_gonesse,0.816971600056,0.119344212115,5,6.84550666809
CBADefense,-0.762791514397,0.207587823272,6,-3.67454838753
CBAnwCty,-0.394617915154,0.106972411275,6,-3.68896913528
CLEmpTot_lag1,0.986729621887,0.0798141732812,6,12.3628368378
CLOActPotSt,-0.0412352047861,0.0813174471259,6,-0.50708925724
CLPB,-0.137151867151,0.13054163754,6,-1.05063688755
CNGsubwSP,0.0122502446175,0.00773201324046,6,1.58435380459
CNGtrainSt,0.0525781624019,0.014297763817,6,3.67736959457
CPBhghInc,0.0152063844725,0.00478702876717,6,3.17658090591
CQEsec2dst_lag1,-8652.2578125,8938.296875,6,-0.967998504639
CQEsec3dst_lag1,94289.1015625,43898.5117188,6,2.14788842201
